threads,run,integral,time_seconds,timestamp
163,2,5.500539,0.328368,2025-05-14T03:51:42.594932
163,3,5.500539,0.327284,2025-05-14T03:51:42.923580
163,4,5.500539,0.337428,2025-05-14T03:51:43.262584
163,5,5.500539,0.322589,2025-05-14T03:51:43.586580
180,1,5.500539,0.258613,2025-05-14T03:51:43.846313
180,2,5.500539,0.264565,2025-05-14T03:51:44.112127
180,3,5.500539,0.263215,2025-05-14T03:51:44.376591
180,4,5.500539,0.269806,2025-05-14T03:51:44.647771
180,5,5.500539,0.265707,2025-05-14T03:51:44.914867
198,1,5.500539,0.295601,2025-05-14T03:51:45.211794
198,2,5.500539,0.321873,2025-05-14T03:51:45.535025
198,3,5.500539,0.303268,2025-05-14T03:51:45.839749
198,4,5.500539,0.308989,2025-05-14T03:51:46.149973
198,5,5.500539,0.317764,2025-05-14T03:51:46.469049
219,1,5.500539,0.251071,2025-05-14T03:51:46.721758
219,2,5.500539,0.263394,2025-05-14T03:51:46.986814
219,3,5.500539,0.258025,2025-05-14T03:51:47.246154
219,4,5.500539,0.260605,2025-05-14T03:51:47.508141
219,5,5.500539,0.261216,2025-05-14T03:51:47.770720
242,1,5.500539,0.289076,2025-05-14T03:51:48.061029
242,2,5.500539,0.290418,2025-05-14T03:51:48.352999
242,3,5.500539,0.277812,2025-05-14T03:51:48.632346
242,4,5.500539,0.298485,2025-05-14T03:51:48.932290
242,5,5.500539,0.282236,2025-05-14T03:51:49.215896
266,1,5.500539,0.29656,2025-05-14T03:51:49.513749
266,2,5.500539,0.297829,2025-05-14T03:51:49.812976
266,3,5.500539,0.287831,2025-05-14T03:51:50.102176
266,4,5.500539,0.296034,2025-05-14T03:51:50.399568
266,5,5.500539,0.297312,2025-05-14T03:51:50.698289
294,1,5.500539,0.322599,2025-05-14T03:51:51.022361
294,2,5.500539,0.339655,2025-05-14T03:51:51.363463
294,3,5.500539,0.338496,2025-05-14T03:51:51.703224
294,4,5.500539,0.334447,2025-05-14T03:51:52.038954
294,5,5.500539,0.338128,2025-05-14T03:51:52.378407
324,1,5.500539,0.232831,2025-05-14T03:51:52.612372
324,2,5.500539,0.241012,2025-05-14T03:51:52.854681
324,3,5.500539,0.231167,2025-05-14T03:51:53.087035
324,4,5.500539,0.237339,2025-05-14T03:51:53.325776
324,5,5.500539,0.235632,2025-05-14T03:51:53.562727
358,1,5.500539,0.229205,2025-05-14T03:51:53.793291
358,2,5.500539,0.223552,2025-05-14T03:51:54.018141
358,3,5.500539,0.230916,2025-05-14T03:51:54.250507
358,4,5.500539,0.220684,2025-05-14T03:51:54.472440
358,5,5.500539,0.228412,2025-05-14T03:51:54.702370
395,1,5.500539,0.221037,2025-05-14T03:51:54.924726
395,2,5.500539,0.224807,2025-05-14T03:51:55.151161
395,3,5.500539,0.226565,2025-05-14T03:51:55.379292
395,4,5.500539,0.228111,2025-05-14T03:51:55.608769
395,5,5.500539,0.22758,2025-05-14T03:51:55.837655
435,1,5.500539,0.232193,2025-05-14T03:51:56.071169
435,2,5.500539,0.231399,2025-05-14T03:51:56.304198
435,3,5.500539,0.237141,2025-05-14T03:51:56.542656
435,4,5.500539,0.23206,2025-05-14T03:51:56.776395
435,5,5.500539,0.271863,2025-05-14T03:51:57.049585
480,1,5.500539,0.23617,2025-05-14T03:51:57.287127
480,2,5.500539,0.251882,2025-05-14T03:51:57.540256
480,3,5.500539,0.250258,2025-05-14T03:51:57.791843
480,4,5.500539,0.261557,2025-05-14T03:51:58.054521
480,5,5.500539,0.25032,2025-05-14T03:51:58.306280
530,1,5.500539,0.254044,2025-05-14T03:51:58.561686
530,2,5.500539,0.235517,2025-05-14T03:51:58.798434
530,3,5.500539,0.244922,2025-05-14T03:51:59.044565
530,4,5.500539,0.269274,2025-05-14T03:51:59.315281
530,5,5.500539,0.255502,2025-05-14T03:51:59.572040
584,1,5.500539,0.251472,2025-05-14T03:51:59.825030
584,2,5.500539,0.216078,2025-05-14T03:52:00.042332
584,3,5.500539,0.231557,2025-05-14T03:52:00.275291
584,4,5.500539,0.229649,2025-05-14T03:52:00.506289
584,5,5.500539,0.215932,2025-05-14T03:52:00.723654
645,1,5.500539,0.281277,2025-05-14T03:52:01.006263
645,2,5.500539,0.258057,2025-05-14T03:52:01.265578
645,3,5.500539,0.246338,2025-05-14T03:52:01.513234
645,4,5.500539,0.246877,2025-05-14T03:52:01.761414
645,5,5.500539,0.250482,2025-05-14T03:52:02.013138
711,1,5.500539,0.242773,2025-05-14T03:52:02.257180
711,2,5.500539,0.21796,2025-05-14T03:52:02.476436
711,3,5.500539,0.242632,2025-05-14T03:52:02.720388
711,4,5.500539,0.227892,2025-05-14T03:52:02.949577
711,5,5.500539,0.223613,2025-05-14T03:52:03.174478
784,1,5.500539,0.255802,2025-05-14T03:52:03.431521
784,2,5.500539,0.236059,2025-05-14T03:52:03.668820
784,3,5.500539,0.218323,2025-05-14T03:52:03.888430
784,4,5.500539,0.251863,2025-05-14T03:52:04.141540
784,5,5.500539,0.235958,2025-05-14T03:52:04.378611
865,1,5.500539,0.230446,2025-05-14T03:52:04.610353
865,2,5.500539,0.214105,2025-05-14T03:52:04.825838
865,3,5.500539,0.196413,2025-05-14T03:52:05.023717
865,4,5.500539,0.200863,2025-05-14T03:52:05.225965
865,5,5.500539,0.212963,2025-05-14T03:52:05.440153
954,1,5.500539,0.160154,2025-05-14T03:52:05.601531
954,2,5.500539,0.158186,2025-05-14T03:52:05.760944
954,3,5.500539,0.166974,2025-05-14T03:52:05.929115
954,4,5.500539,0.1666,2025-05-14T03:52:06.096956
954,5,5.500539,0.160394,2025-05-14T03:52:06.258486
1053,1,5.500539,0.220119,2025-05-14T03:52:06.479914
1053,2,5.500539,0.209397,2025-05-14T03:52:06.690548
1053,3,5.500539,0.215637,2025-05-14T03:52:06.907453
1053,4,5.500539,0.219719,2025-05-14T03:52:07.128603
1053,5,5.500539,0.207622,2025-05-14T03:52:07.337500
1161,1,5.500539,0.247981,2025-05-14T03:52:07.586761
1161,2,5.500539,0.252066,2025-05-14T03:52:07.840116
1161,3,5.500539,0.26658,2025-05-14T03:52:08.107979
1161,4,5.500539,0.264121,2025-05-14T03:52:08.373455
1161,5,5.500539,0.274193,2025-05-14T03:52:08.648794
1281,1,5.500539,0.206196,2025-05-14T03:52:08.856307
1281,2,5.500539,0.20074,2025-05-14T03:52:09.058339
1281,3,5.500539,0.193391,2025-05-14T03:52:09.253152
1281,4,5.500539,0.206598,2025-05-14T03:52:09.461062
1281,5,5.500539,0.195805,2025-05-14T03:52:09.658210
1413,1,5.500539,0.221223,2025-05-14T03:52:09.880622
1413,2,5.500539,0.229546,2025-05-14T03:52:10.111514
1413,3,5.500539,0.223245,2025-05-14T03:52:10.336084
1413,4,5.500539,0.22946,2025-05-14T03:52:10.566715
1413,5,5.500539,0.294356,2025-05-14T03:52:10.862542
1558,1,5.500539,0.25164,2025-05-14T03:52:11.115436
1558,2,5.500539,0.229749,2025-05-14T03:52:11.346367
1558,3,5.500539,0.220391,2025-05-14T03:52:11.568053
1558,4,5.500539,0.231626,2025-05-14T03:52:11.800812
1558,5,5.500539,0.220267,2025-05-14T03:52:12.022455
1719,1,5.500539,0.147086,2025-05-14T03:52:12.170924
1719,2,5.500539,0.143489,2025-05-14T03:52:12.315708
1719,3,5.500539,0.161538,2025-05-14T03:52:12.478523
